11,서울특별시,,,,,126.9786567859313,37.566826005485716
11,서울특별시,11010,종로구,,,126.97923004370492,37.57312947159552
11,서울특별시,11010,종로구,1101053,사직동,126.96884605608865,37.57618696588561
11,서울특별시,11010,종로구,1101054,삼청동,126.98175830292165,37.58499778256992
11,서울특별시,11010,종로구,1101055,부암동,126.96406101598255,37.59241429535955
11,서울특별시,11010,종로구,1101056,평창동,126.9683578109311,37.606391696043204
11,서울특별시,11010,종로구,1101057,무악동,126.95824567734824,37.5759854736915
11,서울특별시,11010,종로구,1101058,교남동,126.96457511795607,37.5684336003478
11,서울특별시,11010,종로구,1101060,가회동,126.98478901443852,37.58010401538313
11,서울특별시,11010,종로구,1101061,종로1·2·3·4가동,126.99028726084354,37.574435539666744
11,서울특별시,11010,종로구,1101063,종로5·6가동,127.00507129056305,37.572031975843586
11,서울특별시,11010,종로구,1101064,이화동,127.00433805247364,37.57699468402387
11,서울특별시,11010,종로구,1101067,창신1동,127.0163772681666,37.570737119685845
11,서울특별시,11010,종로구,1101068,창신2동,127.01087193533141,37.574482290328575
11,서울특별시,11010,종로구,1101069,창신3동,127.01503845231186,37.57785155239637
11,서울특별시,11010,종로구,1101070,숭인1동,127.01564070435678,37.57780101846189
11,서울특별시,11010,종로구,1101071,숭인2동,127.01996896627993,37.57487753969854
11,서울특별시,11010,종로구,1101072,청운효자동,126.97064969122994,37.58411617384134
11,서울특별시,11010,종로구,1101073,혜화동,127.0006204504988,37.586855235994356
11,서울특별시,11020,중구,,,126.99755518205693,37.56381497833722
11,서울특별시,11020,중구,1102052,소공동,126.97978948415194,37.56389256147569
11,서울특별시,11020,중구,1102054,회현동,126.97935667015034,37.55729358571407
11,서울특별시,11020,중구,1102055,명동,126.98581171546633,37.56004798513031
11,서울특별시,11020,중구,1102057,필동,126.99559954243827,37.56016408324306
11,서울특별시,11020,중구,1102058,장충동,127.00785943700775,37.56191183742461
11,서울특별시,11020,중구,1102059,광희동,127.00505266536452,37.56443117701399
11,서울특별시,11020,중구,1102060,을지로동,126.99135225514436,37.56669787459597
11,서울특별시,11020,중구,1102065,신당5동,127.02187697815722,37.565132035271894
11,서울특별시,11020,중구,1102067,황학동,127.02141584897485,37.56749993721803
11,서울특별시,11020,중구,1102068,중림동,126.9661775921768,37.559168224091685
11,서울특별시,11020,중구,1102069,신당동,127.01450559046833,37.56211663517015
11,서울특별시,11020,중구,1102070,다산동,127.0083022723385,37.55431820242067
11,서울특별시,11020,중구,1102071,약수동,127.00900370980592,37.55243326328505
11,서울특별시,11020,중구,1102072,청구동,127.0147173750815,37.55703138185664
11,서울특별시,11020,중구,1102073,동화동,127.01943078066559,37.55998597095337
11,서울특별시,11030,용산구,,,126.990582345331,37.53243103913802
11,서울특별시,11030,용산구,1103051,후암동,126.9781504637355,37.54867982773518
11,서울특별시,11030,용산구,1103052,용산2가동,126.98556992915505,37.54613294273854
11,서울특별시,11030,용산구,1103053,남영동,126.97336800305129,37.54284397575442
11,서울특별시,11030,용산구,1103057,원효로2동,126.95153018891676,37.5343604221154
11,서울특별시,11030,용산구,1103058,효창동,126.96189887919934,37.54245880834158
11,서울특별시,11030,용산구,1103059,용문동,126.95988277389486,37.537686444944676
11,서울특별시,11030,용산구,1103063,이촌1동,126.97331680470317,37.521396531912345
11,서울특별시,11030,용산구,1103064,이촌2동,126.95467589819056,37.526259866569
11,서울특별시,11030,용산구,1103065,이태원1동,126.99509883211971,37.5325069970379
11,서울특별시,11030,용산구,1103066,이태원2동,126.99018285504647,37.54190953121075
11,서울특별시,11030,용산구,1103069,서빙고동,126.99463808843306,37.52046238128448
11,서울특별시,11030,용산구,1103070,보광동,127.00017648167722,37.52627937533591
11,서울특별시,11030,용산구,1103071,청파동,126.969863704612,37.54543080354661
11,서울특별시,11030,용산구,1103072,원효로1동,126.96769012118696,37.537133822888684
11,서울특별시,11030,용산구,1103073,한강로동,126.96910588830355,37.52814221077219
11,서울특별시,11030,용산구,1103074,한남동,127.00055213243787,37.53462985578658
11,서울특별시,11040,성동구,,,127.03693014118541,37.563427205343174
11,서울특별시,11040,성동구,1104052,왕십리2동,127.03050479092835,37.561108073176435
11,서울특별시,11040,성동구,1104054,마장동,127.04532576078259,37.56637954799328
11,서울특별시,11040,성동구,1104055,사근동,127.04532733171415,37.561499751575745
11,서울특별시,11040,성동구,1104056,행당1동,127.03620337239582,37.558504384172046
11,서울특별시,11040,성동구,1104057,행당2동,127.0293401659,37.55826482191124
11,서울특별시,11040,성동구,1104058,응봉동,127.03341680779683,37.553160488282536
11,서울특별시,11040,성동구,1104059,금호1가동,127.0216431002451,37.554849901372535
11,서울특별시,11040,성동구,1104062,금호4가동,127.02240132684157,37.54719127436341
11,서울특별시,11040,성동구,1104065,성수1가1동,127.04965160052562,37.542079700811996
11,서울특별시,11040,성동구,1104066,성수1가2동,127.0500491728075,37.54776303571764
11,서울특별시,11040,성동구,1104067,성수2가1동,127.05403559408286,37.539554976730145
11,서울특별시,11040,성동구,1104068,성수2가3동,127.05525042193406,37.5482184239163
11,서울특별시,11040,성동구,1104069,송정동,127.06956907208924,37.554532258632406
11,서울특별시,11040,성동구,1104070,용답동,127.05557905276898,37.56407582442792
11,서울특별시,11040,성동구,1104071,왕십리도선동,127.02553162526321,37.56788114107694
11,서울특별시,11040,성동구,1104072,금호2·3가동,127.02091836139842,37.55329310772679
11,서울특별시,11040,성동구,1104073,옥수동,127.01346552210744,37.54373279467508
11,서울특별시,11050,광진구,,,127.08238518945788,37.53855831367326
